Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,Normal low,Normal high,Allow decimals,Display precision,_version:1,_order:17,Data class,Data type,Answers
91ae4b70-636d-4ed7-9fe2-a869d644f79d,,S. haematobium,,,,,,,,,,LabTest,Numeric,
08516a7c-57ec-4d38-a46e-36651ecf6ab8,,Bacteria,,,,,,,,,,LabTest,Numeric,
a47ba21f-2f09-44dc-956b-dd7fd8ae41fc,,ASAT (SGOT),,,,,,,,,,LabTest,Numeric,
fe7e4e5d-62bf-4367-b148-40dffe76846d,,ALAT (SGPT),,,,,,,,,,LabTest,Numeric,
fe7cd1e1-8da1-4cba-98e9-3774afb6b70f,,CA 15-3,,,,,,,,,,LabTest,Numeric,
47388a29-1363-423e-9518-5dc9b7235ab0,,CA 19-9,,,,,,,,,,LabTest,Numeric,
902a9b69-6302-4409-8007-651a65a8452d,,Malaria BS,,,,,,,,,,LabTest,Numeric,
e3242f59-112e-46da-9d1d-286402b14a4e,,Malaria Rapid Diagnostic Tests,,,,,,,,,,LabTest,Numeric,
aca769ff-7ece-4fd2-8387-b8f2579db4f1,,Taenia spp.,,,,,,,,,,LabTest,Numeric,
5c088c30-5b23-442b-8fa2-10f489f8193e,,Hymenolepis nana,,,,,,,,,,LabTest,Numeric,
5a647e7d-f614-4e96-b2e7-c9d7e4ce8fea,,Hookworm,,,,,,,,,,LabTest,Numeric,
80ddbd01-bd1e-410e-a8d6-7282b04b3ef9,,Roundworms,,,,,,,,,,LabTest,Numeric,
7f7e0f43-4972-4b0f-8ae3-b7db8396e2b0,,S. mansoni,,,,,,,,,,LabTest,Numeric,
d2a78519-bcd5-41c2-a790-7ace4383c34e,,Trichuris trichura,,,,,,,,,,LabTest,Numeric,
5e421a2d-a48a-4cbd-a6c6-61e970d1dc2b,,Amoeba,,,,,,,,,,LabTest,Numeric,
1da85654-37c8-4ef7-b798-9f84925ae12d,,HB estimation tests (other techniques),,,,,,,,,,LabTest,Numeric,
dbe6025f-e96c-4382-9469-5580fd395f18,,Hemoglobin A1c (HbA1c),,,,,,,,,,LabTest,Numeric,
8293abc7-76c6-4f89-b146-0b177ec83e8e,,Pre-diabetes,,,,,,,,,,LabTest,Numeric,
b0172ca1-382f-472f-a048-91a7e69b963f,,"Diabetes, LabTest",Diabetes,,,,,,,,,LabTest,Numeric,
4d1f1868-982e-4934-a9a0-545109b41b4e,,CD4 count,,,,,,,,,,LabTest,Numeric,
2d2b6124-6a6a-435c-89f0-463efe42209d,,Peripheral blood films,,,,,,,,,,LabTest,Numeric,
a38a7077-e579-4fb7-9216-a0dea4a54c09,,BMA,,,,,,,,,,LabTest,Numeric,
1c6be42a-f087-4821-8c4f-56389bfc753a,,Coagulation profile,,,,,,,,,,LabTest,Numeric,
64af84a4-2a54-4140-9c3b-e603c7d8592d,,Erythrocyte Sedimentation rate,,,,,,,,,,LabTest,Numeric,
312409b9-a97a-4a11-9200-3affd028dd1f,,"HIV,LabTest",HIV,,,,,,,,,LabTest,Text,
cf354a54-b984-4161-bc38-99df34eff142,,Hepatitis B,,,,,,,,,,LabTest,Numeric,
0cfe40c0-1ba8-4027-816b-5e93789386bc,,"Hepatitis C,LabTest","Hepatitis C,LabTest",,,,,,,,,LabTest,Numeric,
e3c61260-679e-4063-9462-9fdf5094d82f,,Syphillis,,,,,,,,,,LabTest,Numeric,
f3b53b59-67b9-4e10-b522-7c9c70ea98d7,,"Urine,LabTest",Urine,,,,,,,,,LabTest,Numeric,
d68aac6a-97af-46ab-b84e-62960387c58c,,Pus swabs,,,,,,,,,,LabTest,Numeric,
6664adaf-a89a-4c6b-a85e-b91866781ee3,,High Vaginal Swabs,,,,,,,,,,LabTest,Numeric,
faeab77f-c9f1-418a-81d6-acf87e2cd826,,Throat swab,,,,,,,,,,LabTest,Numeric,
f53f0c17-fc7d-4583-9d74-f70d258d25e1,,Rectal swab,,,,,,,,,,LabTest,Numeric,
0569e452-6d2a-47e9-ba5d-8b0fc24f7703,,Water,,,,,,,,,,LabTest,Numeric,
99cedad7-2c35-46ef-b8e5-2d6e0108ee3d,,"Food,LabTest",Food,,,,,,,,,LabTest,Numeric,
a09c71ec-1101-4d34-8e99-b2b416dbd3d4,,Urethral swabs,,,,,,,,,,LabTest,Numeric,
1425d1b9-20cd-4226-8ede-70c066c175ba,,Salmonella typhi,,,,,,,,,,LabTest,Numeric,
ebf56dea-27d0-4c5e-86cf-175605fa2628,,Shigella - dysenteriae type1,,,,,,,,,,LabTest,Numeric,
26182349-a89b-48cf-8b48-c40fbdf66b4b,,E. coli O 157:H7,,,,,,,,,,LabTest,Numeric,
1e4d2455-f0be-4d76-9a7e-bf9b06587e5b,,V. cholerae O1,,,,,,,,,,LabTest,Numeric,
0c83aeef-c863-4716-9bb4-4c4a85e5c910,,V. cholerae O139,,,,,,,,,,LabTest,Numeric,
