Uuid,Void/Retire,Fully specified name:en,Short name:en,Same as mappings,Description:en,...,_version:1,_order:119,Data class,Data type,Answers
a1c535db-3e75-4ec2-8c46-2744b62d1005,,Dementia in Alzheimer's disease with early onset,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
8ca09cf6-9242-49c7-a78a-cbfc00c3262f,,Diarrhoea with no dehydration,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
3cda1487-8ab9-429e-95b7-15c659d8e2c3,,Diarrhoea with some dehydration,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
a2040e04-1f4e-4779-9687-bd6d737c03e2,,Diarrhoea with severe dehydration,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
2400e421-9694-4512-84c8-e37f3fec9294,,"Cholera, Diagnosis",,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
fa0d2aa6-2c84-4405-86bf-2b969704aa54,,Gastroenterirtis,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
b7ef894d-bbbc-4ba9-86f5-0e8f7672555d,,Severe pneumonia,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
079a2252-3e69-4124-8647-35b1a2a13fe2,,Upper Respiratory Tract Infections,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
3a5af959-ac7e-4be8-a918-79bf506eb2d7,,Presumed Tuberculosis,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
ebe09d14-512b-4f76-bca1-4769439a6a61,,Suspected Malaria,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
93bb5223-88be-4c8a-851f-0b613adfb1dd,,Other Meningitis,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
5486af31-17aa-48cf-b03e-0e2c052a4d1d,,Jiggers Infestation,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
81035df6-1516-4a7e-af6d-4c1ca0c8bb76,,Diseases of the skin,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
dd170462-7664-4869-ab4d-fab685546907,,Down's syndrome,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
ea15d8e1-6a5b-45aa-9f0e-eefa5b184f43,,Road Traffic Injuries,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
8c839def-1db5-46b7-a3bc-9dd6745ef088,,Deaths due to Road Traffic Injuries,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
ec6c5f21-b58e-49e7-ae47-e3afd559c8ae,,Violence related injuries,,ICD 10 - WHO:N/A,,,,,Diagnosis,N/A,
